siteMeasureID,siteID,instrumentID,sampleID,reporterID,dateTime,type,aggregation,aggregationDesc,value,unit,accessToPublic,accessToAllOrg,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,accessToDetails,notes
quebec_ouest_wwtp_envrnf_2020-10-01,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-01,envrnf,single,cumulative rainfall in one day.,6.8,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-02,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-02,envrnf,single,cumulative rainfall in one day.,19.5,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-03,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-03,envrnf,single,cumulative rainfall in one day.,0.2,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-04,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-04,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-05,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-05,envrnf,single,cumulative rainfall in one day.,0.3,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-06,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-06,envrnf,single,cumulative rainfall in one day.,1.8,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-07,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-07,envrnf,single,cumulative rainfall in one day.,31.5,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-08,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-08,envrnf,single,cumulative rainfall in one day.,0.2,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-09,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-09,envrnf,single,cumulative rainfall in one day.,2.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-10,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-10,envrnf,single,cumulative rainfall in one day.,22.8,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-11,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-11,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-12,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-12,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-13,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-13,envrnf,single,cumulative rainfall in one day.,12.1,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-14,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-14,envrnf,single,cumulative rainfall in one day.,2.3,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-15,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-15,envrnf,single,cumulative rainfall in one day.,2.1,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-16,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-16,envrnf,single,cumulative rainfall in one day.,18.8,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-17,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-17,envrnf,single,cumulative rainfall in one day.,18.9,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-10-18,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-10-18,envrnf,single,cumulative rainfall in one day.,0.2,mm,True,yes,True,True,True,True,True,"forte pluie dosage de chimique au primaire pour 4,9 heures"
